class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,0.32517,1.0317,0.51217,-0.85669,1.6432,-0.44142,-0.44685,-0.20244,1.3432,0.058231
1,-0.34029,-0.059863,0.36673,-1.5463,1.5357,-0.65993,-0.28903,-0.16143,-0.056113,-0.19586
1,-0.85891,-0.29147,0.1053,-3.9313,1.4437,-0.65004,-0.60439,-0.12679,1.6919,-0.56215
1,-0.81714,-0.29194,0.58154,-4.0204,1.1414,0.041939,-0.65976,-0.037415,0.56654,-0.68076
1,-0.0020047,-0.50097,0.87575,-1.3069,0.5344,-0.24908,0.046025,-0.30301,1.5335,-0.20544
1,-0.85246,0.31852,0.16894,-2.3263,0.68285,-0.42458,0.0037738,-0.076203,1.2446,-0.67174
1,0.62992,-0.35112,0.57931,-1.6656,0.65695,-0.24186,-0.20496,-0.20426,-0.94396,-0.36197
1,-1.8481,-0.26579,0.13825,-3.1486,0.17752,-0.73652,-0.1582,0.0087196,0.26962,-0.68793
1,-0.17365,-0.15429,-0.10676,-2.0272,0.46425,-0.64038,0.30283,-0.15623,-0.17111,-0.51839
1,0.91677,-0.27352,0.071076,-2.2483,0.78182,0.01255,-0.36509,-0.0387,-0.96973,0.36009
1,-0.33747,-0.070892,0.09436,-1.578,0.003062,-0.54869,0.077182,-0.21664,-0.25689,-0.16156
1,-0.67832,0.095735,0.31565,-1.259,1.3055,-0.60567,0.16851,-0.22486,-0.74674,-0.4803
1,-0.63416,0.39826,-0.12817,-2.7737,1.4109,-1.3275,0.48591,-0.26543,-0.50484,-0.68743
1,-0.74569,-0.15689,0.16658,-2.2639,0.84831,-0.56077,0.15888,-0.15254,-0.33195,-0.41009
1,-0.68882,0.35078,0.2979,-1.9458,0.98901,-0.51444,-0.073158,-0.075151,-0.71168,0.093105
1,1.7026,-0.31599,0.12654,-0.016463,-0.46748,-0.56129,-0.2942,-0.11737,0.10954,0.57476
1,-0.58316,0.0018823,0.52949,-0.43127,1.2018,-0.74916,-1.4952,-0.30369,-1.2326,-0.69407
