class,TFRC,CD26,MIG6,PI3KP110ALPHA,GAPDH,INPP4B,GSK3ALPHABETA,BRD4,NDRG1_pT346,FOXM1,NF2,HER3,ACVRL1,DUSP4,RAB25,JNK_pT183Y185,IGFBP2,PKCDELTA_pS664,X4EBP1
1,-0.87679,-0.36561,-0.037206,-0.35056,-3.0857,1.5228,0.0090076,-0.10323,0.46034,-0.81365,0.63127,0.64087,-0.14688,-0.67015,0.2496,0.92853,0.309,-0.042356,-0.072973
1,0.63101,-0.069319,-0.11407,-0.55498,-4.9143,0.028439,-0.21093,-0.8024,1.0435,-0.23747,-0.2586,0.74514,-0.13226,-0.26285,-0.24598,0.1274,-0.42272,-0.14104,-0.55785
1,-0.047654,0.071083,0.85124,-0.28756,-0.663,0.59079,-0.25204,-0.47672,1.8314,0.16441,-0.41248,-0.0017787,-0.21785,-0.4767,0.32511,-0.049445,-1.0261,-0.31467,0.090645
1,0.24655,0.43404,0.81321,-0.35269,-1.631,1.3036,-0.26771,-0.036857,0.38766,-0.28307,0.056247,-0.47816,-0.23403,-1.1895,-0.23441,-0.35601,-0.98967,0.27063,0.24273
1,2.0988,-0.24058,0.32091,-0.27847,-2.2141,-0.70354,0.15389,0.58381,0.46319,0.67878,-0.0045481,0.26904,-0.10634,-0.90347,0.11668,-0.20448,-0.089699,-0.43888,0.39674
1,-0.69911,0.097364,0.23235,-0.28626,-2.2842,-1.0671,-0.18772,-0.020983,1.5189,-0.72677,-0.037366,0.4723,-0.2271,-0.82582,-1.1372,0.088272,-0.10713,0.045017,-0.11839
1,-0.76226,-0.11766,-0.3034,-0.4799,-2.6661,-0.12824,-0.086288,0.11627,0.92305,-0.73449,0.26301,0.053771,-0.21343,0.48783,1.0096,-0.040385,0.45304,0.0055707,-0.17365
1,-0.52035,0.21154,0.17442,-0.33235,-2.3332,0.75136,-0.13455,-0.189,0.2676,-0.57422,-0.2704,0.4414,-0.32288,-0.15127,0.90713,-0.10648,-0.68094,-0.016883,-0.20716
1,-1.2299,0.86412,0.13175,-0.45705,-2.9301,-0.51965,-0.15819,-0.709,1.1764,-0.79316,-0.18684,0.99497,-0.047549,-1.0615,-0.36408,0.31547,-0.46555,-0.29308,-1.3551
1,-0.51913,0.13506,0.26235,-0.42766,-2.1487,1.1746,-0.19109,0.14787,0.58197,-0.67216,0.18028,0.58035,-0.13882,-0.42616,0.49781,0.072305,-1.0517,-0.094957,-0.32346
1,-0.53225,0.093058,0.049448,-0.18168,-3.1122,2.0004,0.037233,-0.75056,-0.13597,-0.96605,-0.70989,-0.14594,0.014581,1.4396,1.4005,-0.13969,-1.2857,0.071254,-0.15503
1,-0.63936,-0.26333,0.38046,-0.12539,-1.5662,0.53127,-0.042675,-1.0184,0.059494,-0.39976,-0.20547,0.032921,-0.051764,0.60051,0.28442,0.25272,-0.58494,-0.63036,-0.12063
1,-0.54163,0.48213,0.0466,-0.63818,-3.9017,0.23688,-0.57196,-0.67054,0.27439,-0.63966,-0.37288,0.37038,0.018731,-0.16418,0.39297,0.15555,-0.96738,-0.21626,-0.52045
1,-0.32181,-0.058629,0.14029,0.12721,-2.3996,1.3024,0.005867,-0.76535,-0.4219,-0.98825,-0.29428,-0.074473,-0.12439,-0.4154,0.95608,-0.2383,-1.0144,0.070535,-0.12591
1,-0.48577,0.57028,0.32176,-0.2436,-2.5752,0.47484,-0.26361,-0.15234,1.5554,-0.76492,0.02378,0.5107,-0.20374,-0.72635,0.61693,-0.17552,-0.56805,0.083752,-0.44353
1,-0.2021,-0.085211,-0.012709,-0.25927,-1.5222,-0.065897,-0.2764,-0.16133,1.1812,-0.5278,0.20071,-0.53462,-0.19363,-0.74483,-1.1413,-0.081288,-0.63307,0.33429,-0.33071
1,0.13803,0.1048,0.7065,-0.22702,-2.6835,1.3245,-0.27183,-0.32571,1.4523,-0.68146,-0.069495,0.55801,-0.11569,-0.60174,-0.12576,-0.025434,-1.1774,0.18157,-0.5692
1,-0.75382,0.13851,0.13238,-0.27071,-3.4975,0.88272,-0.25227,-0.13267,-0.029955,-0.45551,-0.31998,1.3208,-0.12086,-0.5758,-0.59108,0.094585,-1.0145,-0.14916,-0.25723
1,-0.19151,-0.17621,0.15657,-0.5333,-1.6845,0.085542,-0.059036,-0.10006,3.3912,-0.15743,-0.36464,-0.00078353,-0.097974,0.7157,-0.31306,-0.10893,-0.46521,-0.10495,-0.094098
1,-0.54353,-0.0017583,0.26324,-0.34356,-1.4861,-0.28199,-0.25541,-0.57573,0.2747,-0.92109,-0.19418,0.4218,-0.12864,0.14078,1.6849,0.31727,1.6804,-0.26163,-0.95875
1,-0.66834,-0.13756,0.023229,-0.66204,-3.7528,0.27064,-0.23186,-0.87903,0.97489,0.0096428,-0.052846,1.2431,-0.11799,0.109,-0.2704,0.47825,0.3389,-0.16359,-1.0002
1,-0.51548,-0.17732,-0.074673,-0.065788,-2.6605,0.78525,-0.2278,-0.56182,0.29149,-0.83603,-0.25002,0.86999,-0.15644,-0.69814,-0.43124,0.0052602,-0.53708,-0.18153,-0.038637
1,1.4248,-0.18001,0.14518,-0.27035,-1.0696,-0.56616,-0.14775,0.49725,0.88108,0.19224,-0.44605,0.47449,-0.17573,-1.2092,-1.3609,-0.040945,2.4198,0.048011,1.9068
1,-0.026775,-0.46308,-0.18118,-0.35794,-3.5204,-0.025811,-0.024044,-0.37771,0.1608,-0.16084,-0.3219,0.13258,-0.20256,0.0054447,-0.7861,0.12384,1.9113,-0.13333,-0.16854
1,-0.62304,0.51999,0.25975,-0.40911,-3.5592,1.715,-0.39537,-0.098888,0.47151,-0.38618,-0.12176,0.10858,-0.14915,-0.43868,0.50967,-0.11688,-1.0745,0.044832,-0.035272
